s,alpha_s
0,0
1,0
2,0
3,0
4,0
5,21
6,336
7,2880
8,26880
9,98770
10,198408
11,263508
12,255920
13,191730
14,113760
15,53928
16,20328
17,5985
18,1330
19,210
20,21
21,1
E_T_fraction,3576863/251940
E_T_approx,14.197281098674
