s,alpha_s
0,0
1,0
2,0
3,0
4,5
5,96
6,960
7,10240
8,42330
9,94480
10,138028
11,146240
12,118690
13,75840
14,38520
15,15488
16,4845
17,1140
18,190
19,20
20,1
E_T_fraction,474989/37791
E_T_approx,12.568839141595
